,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,18,00,"[8, 10, 9, 9, 11, 14, 11, 11, 9, 7]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,18,10,"[7, 11, 9, 9, 12, 14, 11, 10, 9, 7]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,18,20,"[8, 11, 9, 9, 11, 14, 10, 11, 9, 7]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,18,30,"[8, 11, 9, 9, 12, 13, 10, 11, 9, 8]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,18,40,"[8, 11, 9, 10, 12, 13, 10, 11, 9, 8]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,18,50,"[7, 11, 9, 10, 12, 13, 10, 11, 9, 8]"
7,2호선,봉천역,229,20221001,20221231,211,성수역,219,삼성역,230,신림역,0,0,THU,18,00,"[7, 11, 9, 15, 17, 11, 9, 9, 8, 6]"
7,2호선,봉천역,229,20221001,20221231,211,성수역,219,삼성역,230,신림역,0,0,THU,18,10,"[7, 11, 9, 14, 17, 11, 9, 8, 8, 6]"
7,2호선,봉천역,229,20221001,20221231,211,성수역,219,삼성역,230,신림역,0,0,THU,18,20,"[7, 11, 9, 14, 17, 11, 8, 9, 8, 6]"
7,2호선,봉천역,229,20221001,20221231,211,성수역,219,삼성역,230,신림역,0,0,THU,18,30,"[7, 11, 10, 14, 17, 11, 8, 8, 8, 6]"
7,2호선,봉천역,229,20221001,20221231,211,성수역,219,삼성역,230,신림역,0,0,THU,18,40,"[8, 11, 10, 13, 16, 11, 8, 8, 8, 6]"
7,2호선,봉천역,229,20221001,20221231,211,성수역,219,삼성역,230,신림역,0,0,THU,18,50,"[7, 11, 9, 14, 16, 11, 8, 8, 9, 6]"
8,2호선,봉천역,229,20221001,20221231,211,성수역,228,서울대입구역,230,신림역,0,0,THU,18,00,"[7, 11, 9, 15, 17, 11, 9, 9, 8, 6]"
8,2호선,봉천역,229,20221001,20221231,211,성수역,228,서울대입구역,230,신림역,0,0,THU,18,10,"[7, 11, 9, 14, 17, 11, 9, 8, 8, 6]"
8,2호선,봉천역,229,20221001,20221231,211,성수역,228,서울대입구역,230,신림역,0,0,THU,18,20,"[7, 11, 9, 14, 17, 11, 8, 9, 8, 6]"
8,2호선,봉천역,229,20221001,20221231,211,성수역,228,서울대입구역,230,신림역,0,0,THU,18,30,"[7, 11, 10, 14, 17, 11, 8, 8, 8, 6]"
8,2호선,봉천역,229,20221001,20221231,211,성수역,228,서울대입구역,230,신림역,0,0,THU,18,40,"[8, 11, 10, 13, 16, 11, 8, 8, 8, 6]"
